time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2019/09/05/07:27:24.365451,6901,1567636044,365023718,gx5_link,-0.134567499161,0.106806315482,0.778329253197,0.603893756866,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000191404280486,-0.00259926589206,0.00150327628944,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142951257331,-3.30734597147,-9.22305415392,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.375078,6902,1567636044,371144165,gx5_link,-0.134570494294,0.10680758208,0.778332293034,0.603888869286,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000904620043002,-0.00294233555906,0.000583148095757,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.1439305015,-3.30707232177,-9.2221969521,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.389497,6903,1567636044,389068892,gx5_link,-0.13457468152,0.106805607677,0.778334975243,0.603884875774,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.00132631056476,-0.00413470901549,0.00121180724818,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.141082880069,-3.30990880609,-9.22458203137,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.401483,6904,1567636044,401071937,gx5_link,-0.134578168392,0.106807358563,0.778337478638,0.60388058424,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.00121853570454,-0.00274276710115,0.00100629555527,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142622835673,-3.30962550849,-9.22723842144,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.419441,6905,1567636044,419048746,gx5_link,-0.134577214718,0.106810323894,0.778331756592,0.603887557983,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000330299517373,-0.00276983832009,0.00260791205801,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142546721371,-3.30870281786,-9.22795938313,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.431461,6906,1567636044,431057291,gx5_link,-0.13457916677,0.106814369559,0.778330266476,0.603888332844,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.00184903026093,-0.0026837028563,0.00248933630064,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143749438813,-3.30674575478,-9.22526557088,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.449425,6907,1567636044,449018013,gx5_link,-0.13457788527,0.10681630671,0.778329253197,0.603889584541,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000461893738247,-0.0033640647307,0.00124423322268,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.14216805934,-3.30682615399,-9.2250954169,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.461466,6908,1567636044,461080565,gx5_link,-0.134576678276,0.106815382838,0.778329432011,0.60388982296,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000275008846074,-0.00296416762285,0.00186014221981,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.1421656565,-3.30421595693,-9.224368608,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.479414,6909,1567636044,479061335,gx5_link,-0.134577438235,0.106811620295,0.778322339058,0.603899419308,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000355876691174,-0.00318535626866,0.0016312210355,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.139695317522,-3.30774095088,-9.2224735254,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.491414,6910,1567636044,491063006,gx5_link,-0.134582147002,0.10681180656,0.778325200081,0.603894650936,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.00144872243982,-0.00336343166418,0.000707172555849,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142224384472,-3.30521933913,-9.22358274221,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
