time,.data
2019/09/05/07:27:27.991540,3.06796157577
2019/09/05/07:27:28.004460,3.06796157577
2019/09/05/07:27:28.017318,3.06796157577
2019/09/05/07:27:28.030429,3.06796157577
2019/09/05/07:27:28.043407,3.06796157577
2019/09/05/07:27:28.056322,3.06796157577
2019/09/05/07:27:28.069242,3.06796157577
2019/09/05/07:27:28.082350,3.06796157577
2019/09/05/07:27:28.095445,3.0510877871
2019/09/05/07:27:28.108393,3.02501011371
2019/09/05/07:27:28.121278,2.99279651716
2019/09/05/07:27:28.134274,2.96518486298
2019/09/05/07:27:28.147228,2.95137903589
2019/09/05/07:27:28.160522,2.94217515116
2019/09/05/07:27:28.173421,2.93450524723
2019/09/05/07:27:28.186522,2.93450524723
2019/09/05/07:27:28.199232,2.93450524723
2019/09/05/07:27:28.212265,2.9375732088
2019/09/05/07:27:28.225374,2.94217515116
2019/09/05/07:27:28.238195,2.9498450551
2019/09/05/07:27:28.251329,2.95598097826
2019/09/05/07:27:28.264326,2.96671884377
2019/09/05/07:27:28.277370,2.97899069007
2019/09/05/07:27:28.290388,2.9881945748
2019/09/05/07:27:28.303299,3.00200040189
2019/09/05/07:27:28.316309,3.01273826741
2019/09/05/07:27:28.329470,3.02347613292
2019/09/05/07:27:28.342256,3.03574797923
2019/09/05/07:27:28.355287,3.04495186395
2019/09/05/07:27:28.368329,3.05415574868
2019/09/05/07:27:28.381347,3.06182565262
2019/09/05/07:27:28.394250,3.06796157577
2019/09/05/07:27:28.407206,3.07563147971
2019/09/05/07:27:28.420271,3.07869944129
2019/09/05/07:27:28.433369,3.08176740286
2019/09/05/07:27:28.446380,3.08176740286
2019/09/05/07:27:28.459217,3.08176740286
2019/09/05/07:27:28.474219,3.08176740286
2019/09/05/07:27:28.488186,3.08176740286
2019/09/05/07:27:28.501263,3.08176740286
2019/09/05/07:27:28.514320,3.08176740286
2019/09/05/07:27:28.527294,3.08176740286
2019/09/05/07:27:28.540272,3.08176740286
2019/09/05/07:27:28.553325,3.08176740286
2019/09/05/07:27:28.566227,3.08176740286
2019/09/05/07:27:28.579415,3.08176740286
2019/09/05/07:27:28.592310,3.08176740286
2019/09/05/07:27:28.605328,3.08176740286
2019/09/05/07:27:28.618360,3.08330138365
2019/09/05/07:27:28.631608,3.08176740286
2019/09/05/07:27:28.644359,3.08176740286
2019/09/05/07:27:28.658230,3.08176740286
2019/09/05/07:27:28.671273,3.08176740286
2019/09/05/07:27:28.684180,3.08176740286
2019/09/05/07:27:28.699249,3.08176740286
2019/09/05/07:27:28.712237,3.08176740286
2019/09/05/07:27:28.725226,3.08176740286
2019/09/05/07:27:28.738286,3.08176740286
2019/09/05/07:27:28.751257,3.08176740286
2019/09/05/07:27:28.764396,3.08176740286
2019/09/05/07:27:28.777620,3.08176740286
2019/09/05/07:27:28.790117,3.08176740286
2019/09/05/07:27:28.803218,3.08176740286
2019/09/05/07:27:28.816296,3.08176740286
2019/09/05/07:27:28.829450,3.08176740286
2019/09/05/07:27:28.843215,3.08176740286
2019/09/05/07:27:28.857258,3.08176740286
2019/09/05/07:27:28.870270,3.08176740286
2019/09/05/07:27:28.883353,3.08176740286
2019/09/05/07:27:28.896215,3.08176740286
2019/09/05/07:27:28.910111,3.08176740286
2019/09/05/07:27:28.923195,3.08176740286
2019/09/05/07:27:28.936217,3.08176740286
2019/09/05/07:27:28.949534,3.08176740286
2019/09/05/07:27:28.962293,3.08176740286
2019/09/05/07:27:28.975209,3.08176740286
2019/09/05/07:27:28.988197,3.08176740286
2019/09/05/07:27:29.001388,3.08176740286
2019/09/05/07:27:29.014202,3.08176740286
2019/09/05/07:27:29.027374,3.08176740286
2019/09/05/07:27:29.040154,3.08176740286
2019/09/05/07:27:29.054310,3.08176740286
2019/09/05/07:27:29.067349,3.08176740286
2019/09/05/07:27:29.080119,3.08176740286
2019/09/05/07:27:29.094102,3.08176740286
2019/09/05/07:27:29.107201,3.08176740286
2019/09/05/07:27:29.120063,3.08176740286
2019/09/05/07:27:29.134204,3.08176740286
2019/09/05/07:27:29.148264,3.08176740286
2019/09/05/07:27:29.161164,3.08176740286
2019/09/05/07:27:29.174174,3.08176740286
2019/09/05/07:27:29.187222,3.08176740286
2019/09/05/07:27:29.201100,3.08176740286
2019/09/05/07:27:29.216070,3.08176740286
2019/09/05/07:27:29.230263,3.08176740286
2019/09/05/07:27:29.244353,3.08176740286
2019/09/05/07:27:29.257212,3.08176740286
2019/09/05/07:27:29.272148,3.08176740286
2019/09/05/07:27:29.285130,3.08176740286
2019/09/05/07:27:29.299292,3.08176740286
2019/09/05/07:27:29.312304,3.08176740286
2019/09/05/07:27:29.326328,3.08176740286
2019/09/05/07:27:29.339030,3.08176740286
2019/09/05/07:27:29.353070,3.08176740286
2019/09/05/07:27:29.366038,3.08176740286
2019/09/05/07:27:29.380103,3.08176740286
2019/09/05/07:27:29.393092,3.08176740286
2019/09/05/07:27:29.406075,3.08330138365
2019/09/05/07:27:29.419077,3.08176740286
2019/09/05/07:27:29.433091,3.08176740286
2019/09/05/07:27:29.446264,3.08176740286
2019/09/05/07:27:29.459390,3.08330138365
2019/09/05/07:27:29.474027,3.08176740286
2019/09/05/07:27:29.488205,3.08176740286
2019/09/05/07:27:29.502088,3.08176740286
2019/09/05/07:27:29.515061,3.08176740286
