time,.x,.y,.z
2019/09/05/07:27:24.804091,0.345321878029,0.00398501386042,0.0
2019/09/05/07:27:24.818067,0.345327412258,0.00397997843891,0.0
2019/09/05/07:27:24.831041,0.345324239358,0.0039880129822,0.0
2019/09/05/07:27:24.846563,0.345322266595,0.00398570099328,0.0
2019/09/05/07:27:24.859601,0.345322288297,0.00399659118642,0.0
2019/09/05/07:27:24.873307,0.345325201936,0.00399078375136,0.0
2019/09/05/07:27:24.886050,0.345316485845,0.00398606465555,0.0
2019/09/05/07:27:24.900160,0.345308605756,0.00397511788304,0.0
2019/09/05/07:27:24.914246,0.345303596815,0.00397236116899,0.0
2019/09/05/07:27:24.928340,0.345303596815,0.00397236116899,0.0
2019/09/05/07:27:24.941043,0.345304862524,0.00398873853541,0.0
2019/09/05/07:27:24.955120,0.345298279043,0.0039974949446,0.0
2019/09/05/07:27:24.968303,0.345301231012,0.00399289914646,0.0
2019/09/05/07:27:24.982176,0.345297944197,0.00399526178489,0.0
2019/09/05/07:27:24.995210,0.345305786759,0.00400133866805,0.0
2019/09/05/07:27:25.009038,0.345299670188,0.00400079215882,0.0
2019/09/05/07:27:25.022026,0.345302170251,0.00400942784941,0.0
2019/09/05/07:27:25.035131,0.345313275431,0.00400524894178,0.0
2019/09/05/07:27:25.048040,0.345313275431,0.00400524894178,0.0
2019/09/05/07:27:25.061106,0.345315690499,0.00399946366217,0.0
2019/09/05/07:27:25.074053,0.345329333324,0.00400470395153,0.0
2019/09/05/07:27:25.087338,0.345331852257,0.0040034846676,0.0
2019/09/05/07:27:25.100570,0.345339052743,0.00399573252784,0.0
2019/09/05/07:27:25.113102,0.345339052743,0.00399573252784,0.0
2019/09/05/07:27:25.126072,0.345337548873,0.00399690098142,0.0
2019/09/05/07:27:25.139229,0.345339786673,0.0039986117024,0.0
2019/09/05/07:27:25.151976,0.345328707312,0.00399374427411,0.0
2019/09/05/07:27:25.165241,0.345343346915,0.00399176650111,0.0
2019/09/05/07:27:25.178411,0.345344429115,0.00398205654303,0.0
2019/09/05/07:27:25.191402,0.345353237374,0.00397025550469,0.0
2019/09/05/07:27:25.203925,0.345352209863,0.00396382655547,0.0
2019/09/05/07:27:25.217310,0.345352209863,0.00396382655547,0.0
2019/09/05/07:27:25.230107,0.345349221799,0.00397290550063,0.0
2019/09/05/07:27:25.242973,0.345349221799,0.00397290550063,0.0
2019/09/05/07:27:25.255993,0.34534521172,0.00397636898814,0.0
2019/09/05/07:27:25.269124,0.34534521172,0.00397636898814,0.0
2019/09/05/07:27:25.282041,0.345337271922,0.0039674648943,0.0
2019/09/05/07:27:25.295184,0.345328918758,0.00396759458303,0.0
2019/09/05/07:27:25.307922,0.345337652303,0.0039706361241,0.0
2019/09/05/07:27:25.321097,0.345341448076,0.00395596159976,0.0
2019/09/05/07:27:25.334066,0.345340441165,0.00396572791733,0.0
2019/09/05/07:27:25.347009,0.345340441165,0.00396572791733,0.0
2019/09/05/07:27:25.359958,0.345340501141,0.00396893579135,0.0
2019/09/05/07:27:25.373195,0.345334763668,0.00396858373159,0.0
2019/09/05/07:27:25.386276,0.345335249479,0.00396457674845,0.0
2019/09/05/07:27:25.399197,0.345326943696,0.00396401047635,0.0
2019/09/05/07:27:25.413009,0.345326943696,0.00396401047635,0.0
2019/09/05/07:27:25.425947,0.345327897763,0.00396427734135,0.0
2019/09/05/07:27:25.438911,0.345327897763,0.00396427734135,0.0
2019/09/05/07:27:25.451979,0.345329886172,0.00397853716655,0.0
2019/09/05/07:27:25.465935,0.345329886172,0.00397853716655,0.0
2019/09/05/07:27:25.478930,0.345326543806,0.00397320478362,0.0
2019/09/05/07:27:25.493051,0.345337063575,0.00397510853684,0.0
2019/09/05/07:27:25.506017,0.345340921946,0.00397725684603,0.0
2019/09/05/07:27:25.518961,0.345338559976,0.00398387923633,0.0
2019/09/05/07:27:25.531859,0.345338985709,0.00397687179968,0.0
2019/09/05/07:27:25.544868,0.345345045794,0.00396542557402,0.0
